path,exists,is_dir,tracked,ignored,size,nfiles
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_comp5_spconv2121.csv,True,False,False,False,1442,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121.csv,True,False,False,False,4881,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_comp0_spconv2121.csv,True,False,False,False,1527,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_comp1_spconv2121.csv,True,False,False,False,1367,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_comp2_spconv2121.csv,True,False,False,False,1541,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_comp3_spconv2121.csv,True,False,False,False,1365,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_comp4_spconv2121.csv,True,False,False,False,1535,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_comp5_spconv2121.csv,True,False,False,False,1362,1
results/dair_v2x_seq/trafalign_official_check_0_400ms_spconv2121.csv,True,False,False,False,507,1
results/dair_v2x_seq/trafalign_ours_t10n10_comp0_spconv2121.csv,True,False,False,False,2853,1
results/dair_v2x_seq/trafalign_ours_t10n10_comp1_spconv2121_comp135.csv,True,False,False,False,2873,1
results/dair_v2x_seq/trafalign_ours_t10n10_comp2_spconv2121.csv,True,False,False,False,2867,1
results/dair_v2x_seq/trafalign_ours_t10n10_comp3_spconv2121_comp135.csv,True,False,False,False,2867,1
results/dair_v2x_seq/trafalign_ours_t10n10_comp4_spconv2121.csv,True,False,False,False,2867,1
results/dair_v2x_seq/trafalign_ours_t10n10_comp5_spconv2121_comp135.csv,True,False,False,False,2873,1
results/dair_v2x_seq/trafalign_unfreeze_field_offset_gate06_key_comp0_comm0_20260722.csv,True,False,False,False,330,1
results/dair_v2x_seq/trafalign_unfreeze_field_offset_gate06_key_comp2_20260722.csv,True,False,False,False,597,1
results/dair_v2x_seq/trafalign_unfreeze_field_offset_gate06_key_comp4_20260722.csv,True,False,False,False,595,1
results/dair_v2x_seq/trafalign_unfreeze_field_offset_key_comp0_comm0_20260722.csv,True,False,False,False,316,1
results/dair_v2x_seq/trafalign_unfreeze_field_offset_key_comp2_20260722.csv,True,False,False,False,568,1
