method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + SyncNet,0,2,72.16,62.30,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp2_32_32_epoch19.yaml
DATA + SyncNet,1,2,72.11,62.73,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp2_32_32_epoch19.yaml
DATA + SyncNet,2,2,72.37,63.11,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp2_32_32_epoch19.yaml
DATA + SyncNet,3,2,72.38,62.87,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp2_32_32_epoch19.yaml
DATA + SyncNet,4,2,72.31,62.81,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp2_32_32_epoch19.yaml
DATA + SyncNet,5,2,72.45,62.94,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp2_32_32_epoch19.yaml
DATA + SyncNet,0,4,67.28,58.10,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp4_32_32_epoch19.yaml
DATA + SyncNet,1,4,67.86,58.65,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp4_32_32_epoch19.yaml
DATA + SyncNet,2,4,68.53,59.18,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp4_32_32_epoch19.yaml
DATA + SyncNet,3,4,68.72,59.14,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp4_32_32_epoch19.yaml
DATA + SyncNet,4,4,68.88,59.15,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp4_32_32_epoch19.yaml
DATA + SyncNet,5,4,68.93,59.17,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp4_32_32_epoch19.yaml
