scene,interval,last_input_frame,target_frame,iou,baseline_iou
8,1,46,47,0.509622,0.418660
8,2,46,48,0.465903,0.388576
8,3,46,49,0.448007,0.354565
8,4,46,50,0.416047,0.339071
8,5,46,51,0.396304,0.335590
8,6,46,52,0.371050,0.326864
8,7,46,53,0.356725,0.305313
8,8,46,54,0.354495,0.291542
8,9,46,55,0.331351,0.296971
8,1,47,48,0.512610,0.423896
8,2,47,49,0.456398,0.378515
8,3,47,50,0.422330,0.343704
8,4,47,51,0.398769,0.338055
8,5,47,52,0.382086,0.327838
8,6,47,53,0.372799,0.321464
8,7,47,54,0.367956,0.307725
8,8,47,55,0.342730,0.293776
8,9,47,56,0.322466,0.297267
8,1,48,49,0.493871,0.408956
8,2,48,50,0.443983,0.371605
8,3,48,51,0.421216,0.343869
8,4,48,52,0.384995,0.322744
8,5,48,53,0.382409,0.326304
8,6,48,54,0.376880,0.312070
8,7,48,55,0.353672,0.299500
8,8,48,56,0.327116,0.286499
8,9,48,57,0.320602,0.297537
8,1,49,50,0.489253,0.399511
8,2,49,51,0.443127,0.362761
8,3,49,52,0.407483,0.335893
8,4,49,53,0.390956,0.326015
8,5,49,54,0.390096,0.324705
8,6,49,55,0.369798,0.301790
8,7,49,56,0.342707,0.286474
8,8,49,57,0.331073,0.291012
8,9,49,58,0.320223,0.285090
8,1,50,51,0.485724,0.391226
8,2,50,52,0.434485,0.356695
8,3,50,53,0.417080,0.327030
8,4,50,54,0.400343,0.323847
8,5,50,55,0.380985,0.312438
8,6,50,56,0.364026,0.290677
8,7,50,57,0.348958,0.288531
8,8,50,58,0.327526,0.279121
8,9,50,59,0.320171,0.281184
8,1,51,52,0.474207,0.387637
8,2,51,53,0.427556,0.361039
8,3,51,54,0.413587,0.337241
8,4,51,55,0.392335,0.321216
8,5,51,56,0.374595,0.305789
8,6,51,57,0.358412,0.296976
8,7,51,58,0.343312,0.283752
8,8,51,59,0.322111,0.278335
8,9,51,60,0.311289,0.276801
8,1,52,53,0.476450,0.385091
8,2,52,54,0.431830,0.360970
8,3,52,55,0.413681,0.333572
8,4,52,56,0.391725,0.320819
8,5,52,57,0.373038,0.308061
8,6,52,58,0.360471,0.302107
8,7,52,59,0.338663,0.283482
8,8,52,60,0.319071,0.272879
8,9,52,61,0.319062,0.271231
8,1,53,54,0.493511,0.396196
8,2,53,55,0.431559,0.366828
8,3,53,56,0.411096,0.336563
8,4,53,57,0.393572,0.326112
8,5,53,58,0.383533,0.318717
8,6,53,59,0.364248,0.298142
8,7,53,60,0.340862,0.281987
8,8,53,61,0.330711,0.282969
8,9,53,62,0.326316,0.280189
8,1,54,55,0.486133,0.401745
8,2,54,56,0.424141,0.368506
8,3,54,57,0.410696,0.340318
8,4,54,58,0.401608,0.338728
8,5,54,59,0.384139,0.325213
8,6,54,60,0.355286,0.300440
8,7,54,61,0.342803,0.296992
8,8,54,62,0.325809,0.282937
8,9,54,63,0.326033,0.289315
8,1,55,56,0.487856,0.398647
8,2,55,57,0.425218,0.357616
8,3,55,58,0.408237,0.333237
8,4,55,59,0.395256,0.327574
8,5,55,60,0.372372,0.314240
8,6,55,61,0.361776,0.308034
8,7,55,62,0.337770,0.285835
8,8,55,63,0.337665,0.287542
8,9,55,64,0.331302,0.289429
8,1,56,57,0.492511,0.401544
8,2,56,58,0.423965,0.358349
8,3,56,59,0.404310,0.340637
8,4,56,60,0.382667,0.324258
8,5,56,61,0.372329,0.320801
8,6,56,62,0.354278,0.305674
8,7,56,63,0.349905,0.294830
8,8,56,64,0.341309,0.290182
8,9,56,65,0.348471,0.298011
8,1,57,58,0.492138,0.404317
8,2,57,59,0.419494,0.365641
8,3,57,60,0.389731,0.333726
8,4,57,61,0.382429,0.327639
8,5,57,62,0.367854,0.317760
8,6,57,63,0.366521,0.313923
8,7,57,64,0.350424,0.296830
8,8,57,65,0.357298,0.302011
8,9,57,66,0.346448,0.302743
8,1,58,59,0.495764,0.410332
8,2,58,60,0.419779,0.362570
8,3,58,61,0.401661,0.336178
8,4,58,62,0.375389,0.318459
8,5,58,63,0.376664,0.323978
8,6,58,64,0.361439,0.313070
8,7,58,65,0.356682,0.303427
8,8,58,66,0.355289,0.299484
8,9,58,67,0.355119,0.303127
8,1,59,60,0.484361,0.407581
8,2,59,61,0.410428,0.359330
8,3,59,62,0.389177,0.334520
8,4,59,63,0.385842,0.323663
8,5,59,64,0.374314,0.322898
8,6,59,65,0.370444,0.317682
8,7,59,66,0.362749,0.304077
8,8,59,67,0.358619,0.298866
8,9,59,68,0.362719,0.309440
8,1,60,61,0.480204,0.400468
8,2,60,62,0.406620,0.350301
8,3,60,63,0.392691,0.331952
8,4,60,64,0.389801,0.325499
8,5,60,65,0.394126,0.325137
8,6,60,66,0.381718,0.324508
8,7,60,67,0.373373,0.309345
8,8,60,68,0.377291,0.307907
8,9,60,69,0.375718,0.310963
8,1,61,62,0.474639,0.394818
8,2,61,63,0.415719,0.349230
8,3,61,64,0.391524,0.329587
8,4,61,65,0.400036,0.336561
8,5,61,66,0.400294,0.338700
8,6,61,67,0.389417,0.326691
8,7,61,68,0.396762,0.323250
8,8,61,69,0.382539,0.311752
8,9,61,70,0.383156,0.318067
8,1,62,63,0.486858,0.401212
8,2,62,64,0.422790,0.342652
8,3,62,65,0.401053,0.334525
8,4,62,66,0.408311,0.342263
8,5,62,67,0.408068,0.341614
8,6,62,68,0.413754,0.334082
8,7,62,69,0.398698,0.317526
8,8,62,70,0.389018,0.315837
8,9,62,71,0.390330,0.317048
8,1,63,64,0.502035,0.417007
8,2,63,65,0.430275,0.349235
8,3,63,66,0.417525,0.349775
8,4,63,67,0.418977,0.347139
8,5,63,68,0.420965,0.353350
8,6,63,69,0.421203,0.345584
8,7,63,70,0.409382,0.334438
8,8,63,71,0.401381,0.328349
8,9,63,72,0.395771,0.317553
8,1,64,65,0.516993,0.423059
8,2,64,66,0.441723,0.361980
8,3,64,67,0.433203,0.358123
8,4,64,68,0.437093,0.356773
8,5,64,69,0.433247,0.364952
8,6,64,70,0.421073,0.351869
8,7,64,71,0.416618,0.336282
8,8,64,72,0.410647,0.325744
8,9,64,73,0.413137,0.326395
8,1,65,66,0.515628,0.425908
8,2,65,67,0.449763,0.366165
8,3,65,68,0.439729,0.357710
8,4,65,69,0.439194,0.357538
8,5,65,70,0.437641,0.356549
8,6,65,71,0.430370,0.364502
8,7,65,72,0.422441,0.351691
8,8,65,73,0.424249,0.338428
8,9,65,74,0.423237,0.329998
8,1,66,67,0.523256,0.437106
8,2,66,68,0.466480,0.375464
8,3,66,69,0.450883,0.372403
8,4,66,70,0.446658,0.363819
8,5,66,71,0.446016,0.361232
8,6,66,72,0.442348,0.373327
8,7,66,73,0.436059,0.349089
8,8,66,74,0.426832,0.338730
8,9,66,75,0.427471,0.338748
8,1,67,68,0.516832,0.433155
8,2,67,69,0.465966,0.377291
8,3,67,70,0.449756,0.373333
8,4,67,71,0.459530,0.377060
